year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,phi exponent half width,beta,beta half width
2023,ACL,1000,1.5,3.0,1.813818359375,0.8961314500434202,0.6072300319793322,0.6217677346187606,0.24721473632609436,0.23670514563489053,0.010641861589302666
2024,ACL,1000,1.5,3.0,1.8620849609374996,0.47843201730870016,0.3863770383931392,0.6217677346187606,0.24721473632609436,0.23670514563489053,0.010641861589302666
2025,ACL,1000,1.5,3.0,1.8365966796875002,0.6153665833777727,0.4495877495523116,0.6217677346187606,0.24721473632609436,0.23670514563489053,0.010641861589302666
2023,ACL,1000,2.0,2.0,1.5185058593749985,0.8961314500434202,0.6072300319793322,0.5972479456402169,0.6247891489651922,0.002771584476876938,0.013940782212426728
2024,ACL,1000,2.0,3.0,1.9827148437499993,0.47843201730870016,0.3863770383931392,0.5972479456402169,0.6247891489651922,0.002771584476876938,0.013940782212426728
2025,ACL,1000,2.0,2.0,1.5649414062499982,0.6153665833777727,0.4495877495523116,0.5972479456402169,0.6247891489651922,0.002771584476876938,0.013940782212426728
2023,ACL,1500,1.5,3.0,1.7514892578124996,0.8961314500434202,0.6072300319793322,0.5872643930135625,0.24045964225373484,0.18466464652995904,0.012924857551374343
2024,ACL,1500,1.5,3.0,1.7939697265624996,0.47843201730870016,0.3863770383931392,0.5872643930135625,0.24045964225373484,0.18466464652995904,0.012924857551374343
2025,ACL,1500,1.5,3.0,1.7904541015624993,0.6153665833777727,0.4495877495523116,0.5872643930135625,0.24045964225373484,0.18466464652995904,0.012924857551374343
2023,ACL,1500,2.0,2.0,1.5805419921874995,0.8961314500434202,0.6072300319793322,0.7888177695155645,0.5428928035218659,-0.06135285153822113,0.012179287803633053
2024,ACL,1500,2.0,2.0,1.5831787109374993,0.47843201730870016,0.3863770383931392,0.7888177695155645,0.5428928035218659,-0.06135285153822113,0.012179287803633053
2025,ACL,1500,2.0,2.0,1.520703124999999,0.6153665833777727,0.4495877495523116,0.7888177695155645,0.5428928035218659,-0.06135285153822113,0.012179287803633053
2023,ACT,50,1.5,4.0,1.582068401551584,0.8227551122709955,0.23114294403492475,0.40027200043270367,0.2205436434915307,-0.06082751255401934,0.04146074260430149
2024,ACT,50,1.5,5.0,1.580280713761387,0.6276947720353454,0.3976963455579734,0.40027200043270367,0.2205436434915307,-0.06082751255401934,0.04146074260430149
2025,ACT,50,1.5,4.0,1.7744873046874998,0.19917764244436054,0.7547416925551768,0.40027200043270367,0.2205436434915307,-0.06082751255401934,0.04146074260430149
2023,ACT,50,2.0,2.0,1.2778480039564521,0.8227551122709955,0.23114294403492475,0.2279616951249182,0.2100090570573675,0.010917021281018638,0.03382147922708921
2024,ACT,50,2.0,3.0,1.5012055083822498,0.6276947720353454,0.3976963455579734,0.2279616951249182,0.2100090570573675,0.010917021281018638,0.03382147922708921
2025,ACT,50,2.0,4.0,1.7201416015624993,0.19917764244436054,0.7547416925551768,0.2279616951249182,0.2100090570573675,0.010917021281018638,0.03382147922708921
2023,ACT,100,1.5,4.0,1.5174733550962616,0.8227551122709955,0.23114294403492475,0.2620443919180707,0.17455918174732077,-0.0704602400950673,0.0398665673059203
2024,ACT,100,1.5,5.0,1.7791748046875,0.6276947720353454,0.3976963455579734,0.2620443919180707,0.17455918174732077,-0.0704602400950673,0.0398665673059203
2025,ACT,100,1.5,5.0,1.9569335937500005,0.19917764244436054,0.7547416925551768,0.2620443919180707,0.17455918174732077,-0.0704602400950673,0.0398665673059203
2023,ACT,100,2.0,2.0,1.3251095001819726,0.8227551122709955,0.23114294403492475,0.24289564441041886,0.4036615154850667,0.013920407737637863,0.04848882326014852
2024,ACT,100,2.0,4.0,1.7626953124999996,0.6276947720353454,0.3976963455579734,0.24289564441041886,0.4036615154850667,0.013920407737637863,0.04848882326014852
2023,ACT,500,1.5,4.0,1.6119590739300862,0.8227551122709955,0.23114294403492475,0.24737938212632676,0.1995131900418869,-0.011524378607495993,0.01739283423268615
2024,ACT,500,1.5,3.0,1.4887348805475318,0.6276947720353454,0.3976963455579734,0.24737938212632676,0.1995131900418869,-0.011524378607495993,0.01739283423268615
2025,ACT,500,1.5,4.0,1.8008544921874998,0.19917764244436054,0.7547416925551768,0.24737938212632676,0.1995131900418869,-0.011524378607495993,0.01739283423268615
2023,ACT,1000,1.5,3.0,1.536450195312499,0.8227551122709955,0.23114294403492475,0.25303743330895045,0.2072571002955377,-0.024172497960886948,0.029047502678112416
2024,ACT,1000,1.5,3.0,1.6704101562499991,0.6276947720353454,0.3976963455579734,0.25303743330895045,0.2072571002955377,-0.024172497960886948,0.029047502678112416
