year,ticker,N,delta,xmin,alpha,gamma (nlls),gamma (psd),phi exponent,beta exponent
2024,ABG,1000,2,2.0,1.581127929687499,0.5670970133386046,0.4916658024911872,0.5981153976729626,0.08369719727317355
2025,ABG,1000,2,2.0,1.6187744140624991,0.6066196337483291,0.5692074066034145,0.5981153976729626,0.08369719727317355
2023,ABG,1000,3,2.0,1.6986816406249994,0.5934986310410548,0.5732134267050923,0.4900178748094299,-0.05174725439370898
2024,ABG,1000,3,2.0,1.6641845703124991,0.5670970133386046,0.4916658024911872,0.4900178748094299,-0.05174725439370898
2025,ABG,1000,3,2.0,1.7065917968749993,0.6066196337483291,0.5692074066034145,0.4900178748094299,-0.05174725439370898
2023,ABG,1000,4,2.0,1.7057128906249992,0.5934986310410548,0.5732134267050923,0.5733781198769328,-0.06253805121087312
2024,ABG,1000,4,2.0,1.6735595703124995,0.5670970133386046,0.4916658024911872,0.5733781198769328,-0.06253805121087312
2025,ABG,1000,4,2.0,1.7222656249999995,0.6066196337483291,0.5692074066034145,0.5733781198769328,-0.06253805121087312
2023,ACL,100,2,3.0,1.9789794921875004,0.8961314500434202,0.6072300319793322,0.6980888115205832,0.0631833049441331
2024,ACL,100,2,3.0,1.957666015625,0.47843201730870016,0.3863770383931392,0.6980888115205832,0.0631833049441331
2025,ACL,100,2,3.0,1.8926269531249993,0.6153665833777727,0.4495877495523116,0.6980888115205832,0.0631833049441331
2023,ACL,100,3,2.0,1.5685302734374984,0.8961314500434202,0.6072300319793322,0.39274635991617485,-0.0012853636048599773
2024,ACL,100,3,2.0,1.5489746093749992,0.47843201730870016,0.3863770383931392,0.39274635991617485,-0.0012853636048599773
2025,ACL,100,3,2.0,1.5842041015624995,0.6153665833777727,0.4495877495523116,0.39274635991617485,-0.0012853636048599773
2025,ACL,100,4,2.0,1.5927734374999987,0.6153665833777727,0.4495877495523116,0.5092410055759483,-0.006738133310406776
2023,ACL,500,2,3.0,1.9302001953124996,0.8961314500434202,0.6072300319793322,0.551639846822646,0.030794850672824035
2024,ACL,500,2,3.0,1.9691650390625002,0.47843201730870016,0.3863770383931392,0.551639846822646,0.030794850672824035
2025,ACL,500,2,2.0,1.5248779296874986,0.6153665833777727,0.4495877495523116,0.551639846822646,0.030794850672824035
2023,ACL,1000,2,2.0,1.5185058593749985,0.8961314500434202,0.6072300319793322,0.5972479832412748,0.0027715714021338015
2024,ACL,1000,2,3.0,1.9827148437499993,0.47843201730870016,0.3863770383931392,0.5972479832412748,0.0027715714021338015
2025,ACL,1000,2,2.0,1.5649414062499982,0.6153665833777727,0.4495877495523116,0.5972479832412748,0.0027715714021338015
2023,ACT,100,2,2.0,1.3251095001819726,0.8227551122709955,0.23114294403492475,0.24289565698456814,0.01392047516743738
2024,ACT,100,2,4.0,1.7626953124999996,0.6276947720353454,0.3976963455579734,0.24289565698456814,0.01392047516743738
2023,ADH,100,2,4.0,1.9126953125,13.295415554743983,0.46265045425775864,0.5096458774665619,0.14511370591331732
2024,ADH,100,2,4.0,1.9696777343749998,0.5213260725296192,0.49732209015107165,0.5096458774665619,0.14511370591331732
2025,ADH,100,2,3.0,1.8601806640624998,0.3435285818861328,0.47604893007121973,0.5096458774665619,0.14511370591331732
2023,ADH,100,3,3.0,1.8490478515625002,13.295415554743983,0.46265045425775864,0.5039892763380251,0.19277164253285378
2024,ADH,100,3,3.0,1.8917480468749996,0.5213260725296192,0.49732209015107165,0.5039892763380251,0.19277164253285378
2025,ADH,100,3,2.0,1.5461914062499984,0.3435285818861328,0.47604893007121973,0.5039892763380251,0.19277164253285378
2023,ADH,100,4,3.0,1.8666992187499991,13.295415554743983,0.46265045425775864,0.45851360087259574,0.24910939148754818
2024,ADH,100,4,3.0,1.9485107421874996,0.5213260725296192,0.49732209015107165,0.45851360087259574,0.24910939148754818
2025,ADH,100,4,2.0,1.5694824218749988,0.3435285818861328,0.47604893007121973,0.45851360087259574,0.24910939148754818
2023,ADH,500,2,4.0,1.966162109375,13.295415554743983,0.46265045425775864,0.4947329932933414,0.15761445009994396
2024,ADH,500,2,3.0,1.7338378906249994,0.5213260725296192,0.49732209015107165,0.4947329932933414,0.15761445009994396
2025,ADH,500,2,3.0,1.935546875,0.3435285818861328,0.47604893007121973,0.4947329932933414,0.15761445009994396
2023,ADH,500,3,1.0,1.018259226627046,13.295415554743983,0.46265045425775864,0.10344481335651616,0.3631371286985374
2024,ADH,500,3,3.0,1.8463378906249992,0.5213260725296192,0.49732209015107165,0.10344481335651616,0.3631371286985374
2025,ADH,500,3,2.0,1.575634765624999,0.3435285818861328,0.47604893007121973,0.10344481335651616,0.3631371286985374
2023,ADH,1000,2,3.0,1.8445068359374996,13.295415554743983,0.46265045425775864,0.42244071508203285,0.1685742506794242
2024,ADH,1000,2,3.0,1.83447265625,0.5213260725296192,0.49732209015107165,0.42244071508203285,0.1685742506794242
2025,ADH,1000,2,2.0,1.520336914062499,0.3435285818861328,0.47604893007121973,0.42244071508203285,0.1685742506794242
2023,ADR,100,2,2.0,1.0746106929436214,0.9328790967945654,0.38298209639604264,0.49372057458033847,0.021894235662412703
2024,ADR,100,2,3.0,1.2285487244992987,0.8316935999247222,0.26242902291015724,0.49372057458033847,0.021894235662412703
2025,ADR,100,2,2.0,1.0336402708526284,0.76754258111513,0.42769258440716773,0.49372057458033847,0.021894235662412703
2023,ADR,500,2,4.0,1.8578369140624993,0.9328790967945654,0.38298209639604264,0.843406476814937,0.16954295157540483
2024,ADR,500,2,3.0,1.3993098903611525,0.8316935999247222,0.26242902291015724,0.843406476814937,0.16954295157540483
2025,ADR,500,2,1.0,0.7730244030005524,0.76754258111513,0.42769258440716773,0.843406476814937,0.16954295157540483
2023,AEG,100,2,3.0,1.8648681640624991,0.87505139497298,0.5067594118390852,0.45086859172422283,0.17766899804516742
2024,AEG,100,2,4.0,1.8510986328124996,0.2791460359165134,0.5376211571653158,0.45086859172422283,0.17766899804516742
2025,AEG,100,2,3.0,1.8293457031249996,0.6557931588903628,0.5154476183377541,0.45086859172422283,0.17766899804516742
2024,AEG,100,3,3.0,1.7128906249999991,0.2791460359165134,0.5376211571653158,0.4850280919937886,0.2638657229030329
2024,AEG,100,4,3.0,1.8940917968749997,0.2791460359165134,0.5376211571653158,0.4851739332917637,0.5708697432617972
2023,AEG,500,2,2.0,1.4740478515624993,0.87505139497298,0.5067594118390852,0.5678420239418608,0.11577907928558202
2024,AEG,500,2,3.0,1.7123046874999992,0.2791460359165134,0.5376211571653158,0.5678420239418608,0.11577907928558202
2025,AEG,500,2,3.0,1.8573242187499996,0.6557931588903628,0.5154476183377541,0.5678420239418608,0.11577907928558202
2023,AEG,1000,2,2.0,1.5308105468749993,0.87505139497298,0.5067594118390852,0.44955562571454244,0.12910255292629966
2024,AEG,1000,2,3.0,1.7774902343749996,0.2791460359165134,0.5376211571653158,0.44955562571454244,0.12910255292629966
2025,AEG,1000,2,3.0,1.9447021484374991,0.6557931588903628,0.5154476183377541,0.44955562571454244,0.12910255292629966
2023,AEL,100,2,4.0,1.9396484374999994,0.5900118401089854,0.31257896292685694,0.2362727081599094,0.06895540186922909
2024,AEL,100,2,4.0,1.9282958984374998,0.574530146842514,0.4825002610132554,0.2362727081599094,0.06895540186922909
2025,AEL,100,2,3.0,1.90478515625,0.5622741591526836,0.2743163246719763,0.2362727081599094,0.06895540186922909
2023,AEL,100,3,3.0,1.7757324218749995,0.5900118401089854,0.31257896292685694,0.21573540717650302,0.006744162701194993
2024,AEL,100,3,3.0,1.8382812499999996,0.574530146842514,0.4825002610132554,0.21573540717650302,0.006744162701194993
2025,AEL,100,3,2.0,1.5836181640624991,0.5622741591526836,0.2743163246719763,0.21573540717650302,0.006744162701194993
2024,AEL,100,4,2.0,1.4907470703124988,0.574530146842514,0.4825002610132554,0.19737093700592614,-0.02978334259522637
2025,AEL,100,4,2.0,1.536962890624999,0.5622741591526836,0.2743163246719763,0.19737093700592614,-0.02978334259522637
2023,AEL,500,2,3.0,1.694653320312499,0.5900118401089854,0.31257896292685694,0.2946665728922089,0.07703553838428735
2024,AEL,500,2,3.0,1.8392333984374991,0.574530146842514,0.4825002610132554,0.2946665728922089,0.07703553838428735
2025,AEL,500,2,3.0,1.9397216796874996,0.5622741591526836,0.2743163246719763,0.2946665728922089,0.07703553838428735
2025,AEL,500,3,2.0,1.562451171874999,0.5622741591526836,0.2743163246719763,0.1327109556868293,0.06926858055091996
2023,AEL,1000,2,3.0,1.6821289062499991,0.5900118401089854,0.31257896292685694,0.3150845232418008,0.010081983206814813
2024,AEL,1000,2,3.0,1.85205078125,0.574530146842514,0.4825002610132554,0.3150845232418008,0.010081983206814813
2025,AEL,1000,2,2.0,1.576367187499999,0.5622741591526836,0.2743163246719763,0.3150845232418008,0.010081983206814813
2023,AFE,100,2,3.0,1.9225097656249996,0.5598595882961557,0.5906877170557643,0.6605079122023397,0.08956923377550613
2024,AFE,100,2,3.0,1.8461181640624993,0.6384140497256037,0.543731893408646,0.6605079122023397,0.08956923377550613
2025,AFE,100,2,3.0,1.9198730468749998,0.5579931223394857,0.5821328055079844,0.6605079122023397,0.08956923377550613
